iteration,best_params,best_score,Kp,Ki,Kd,metrics
0,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
1,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
2,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
3,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
4,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
5,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
6,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
7,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
8,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
9,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
10,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
11,"[29.10506750458619, 0.0571911287034893, 976.9477599732714]",1581220.454659471,29.10506750458619,0.0571911287034893,976.9477599732714,"{'ISE': np.float64(1579091.112797291), 'IAE': np.float64(164836.77037284416), 'ITAE': np.float64(964011796.9590226), 'overshoot': np.float64(25.45504490076766), 'settling_time': np.float64(19997.5), 'control_effort': np.float64(943.7212418809615)}"
12,"[12.974169643204439, 0.08064836452265216, 1248.836374496378]",665118.7615302033,12.974169643204439,0.08064836452265216,1248.836374496378,"{'ISE': np.float64(663071.3189847834), 'IAE': np.float64(106864.0646263658), 'ITAE': np.float64(597354497.6835788), 'overshoot': np.float64(15.857576331187659), 'settling_time': np.float64(19971.5), 'control_effort': np.float64(1041.7664580802507)}"
13,"[12.974169643204439, 0.08064836452265216, 1248.836374496378]",665118.7615302033,12.974169643204439,0.08064836452265216,1248.836374496378,"{'ISE': np.float64(663071.3189847834), 'IAE': np.float64(106864.0646263658), 'ITAE': np.float64(597354497.6835788), 'overshoot': np.float64(15.857576331187659), 'settling_time': np.float64(19971.5), 'control_effort': np.float64(1041.7664580802507)}"
14,"[12.974169643204439, 0.08064836452265216, 1248.836374496378]",665118.7615302033,12.974169643204439,0.08064836452265216,1248.836374496378,"{'ISE': np.float64(663071.3189847834), 'IAE': np.float64(106864.0646263658), 'ITAE': np.float64(597354497.6835788), 'overshoot': np.float64(15.857576331187659), 'settling_time': np.float64(19971.5), 'control_effort': np.float64(1041.7664580802507)}"
