iteration,best_params,best_score,Kp,Ki,Kd,metrics
17,"[0.39545684486169813, 0.0, 601.9041063123015]",99747.61831041312,0.39545684486169813,0.0,601.9041063123015,"{'ISE': np.float64(526477.879988827), 'IAE': np.float64(61191.97627393789), 'ITAE': np.float64(149657245.37304574), 'overshoot': np.float64(0.19623817002113242), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5641595382045)}"
18,"[0.39544363309799574, 0.0, 601.9044155125521]",99747.61831041312,0.39544363309799574,0.0,601.9044155125521,"{'ISE': np.float64(526495.2876079727), 'IAE': np.float64(61193.826713160895), 'ITAE': np.float64(149662510.68092057), 'overshoot': np.float64(0.19623856330721878), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5620728151429)}"
19,"[0.3954383483925148, 0.0, 601.9045391926524]",99747.61831041312,0.3954383483925148,0.0,601.9045391926524,"{'ISE': np.float64(526502.2545330713), 'IAE': np.float64(61194.567201030586), 'ITAE': np.float64(149664617.52634567), 'overshoot': np.float64(0.19623872062294367), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5612383749739)}"
20,"[0.3954362345103224, 0.0, 601.9045886646925]",99747.61831041312,0.3954362345103224,0.0,601.9045886646925,"{'ISE': np.float64(526505.0369407405), 'IAE': np.float64(61194.8630531708), 'ITAE': np.float64(149665459.54842705), 'overshoot': np.float64(0.19623878357217706), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5609042404412)}"
21,"[0.39543538895744546, 0.0, 601.9046084535086]",99747.61831041312,0.39543538895744546,0.0,601.9046084535086,"{'ISE': np.float64(526506.1507790794), 'IAE': np.float64(61194.98146476458), 'ITAE': np.float64(149665796.517439), 'overshoot': np.float64(0.19623880875019495), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5607706570789)}"
22,"[0.39543505073629465, 0.0, 601.904616369035]",99747.61831041312,0.39543505073629465,0.0,601.904616369035,"{'ISE': np.float64(526506.5998676214), 'IAE': np.float64(61195.02910978422), 'ITAE': np.float64(149665931.89842415), 'overshoot': np.float64(0.1962388188268136), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5607175089058)}"
23,"[0.3954349154478343, 0.0, 601.9046195352456]",99747.61831041312,0.3954349154478343,0.0,601.9046195352456,"{'ISE': np.float64(526506.774728579), 'IAE': np.float64(61195.047791298486), 'ITAE': np.float64(149665985.25788122), 'overshoot': np.float64(0.19623882287641692), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606958669646)}"
24,"[0.3954348613324502, 0.0, 601.9046208017298]",99747.61831041312,0.3954348613324502,0.0,601.9046208017298,"{'ISE': np.float64(526506.8460377073), 'IAE': np.float64(61195.05537169394), 'ITAE': np.float64(149666006.83834866), 'overshoot': np.float64(0.19623882445048935), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606873209622)}"
25,"[0.39543483968629656, 0.0, 601.9046213083235]",99747.61831041312,0.39543483968629656,0.0,601.9046213083235,"{'ISE': np.float64(526506.8770645628), 'IAE': np.float64(61195.05862033479), 'ITAE': np.float64(149666015.94249797), 'overshoot': np.float64(0.1962388250762146), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606841275279)}"
26,"[0.3954348310278351, 0.0, 601.904621510961]",99747.61831041312,0.3954348310278351,0.0,601.904621510961,"{'ISE': np.float64(526506.8893686619), 'IAE': np.float64(61195.05988354236), 'ITAE': np.float64(149666019.47607613), 'overshoot': np.float64(0.1962388253309939), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606828050741)}"
27,"[0.39543482756445053, 0.0, 601.9046215920159]",99747.61831041312,0.39543482756445053,0.0,601.9046215920159,"{'ISE': np.float64(526506.8908862568), 'IAE': np.float64(61195.06012766894), 'ITAE': np.float64(149666020.3379555), 'overshoot': np.float64(0.19623882547047344), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606820126318)}"
28,"[0.3954348261790967, 0.0, 601.9046216244379]",99747.61831041312,0.3954348261790967,0.0,601.9046216244379,"{'ISE': np.float64(526506.8948629606), 'IAE': np.float64(61195.060508892115), 'ITAE': np.float64(149666021.27701706), 'overshoot': np.float64(0.1962388255219807), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606819854639)}"
29,"[0.3954348256249552, 0.0, 601.9046216374068]",99747.61831041312,0.3954348256249552,0.0,601.9046216374068,"{'ISE': np.float64(526506.8947949986), 'IAE': np.float64(61195.06053354468), 'ITAE': np.float64(149666021.39596587), 'overshoot': np.float64(0.19623882555532646), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606818462688)}"
30,"[0.39543482540329855, 0.0, 601.9046216425943]",99747.61831041312,0.39543482540329855,0.0,601.9046216425943,"{'ISE': np.float64(526506.8951685434), 'IAE': np.float64(61195.06051286114), 'ITAE': np.float64(149666021.33538246), 'overshoot': np.float64(0.19623882551574923), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.560681744756)}"
31,"[0.3954348253146359, 0.0, 601.9046216446693]",99747.61831041312,0.3954348253146359,0.0,601.9046216446693,"{'ISE': np.float64(526506.8960039703), 'IAE': np.float64(61195.060631882254), 'ITAE': np.float64(149666021.64796662), 'overshoot': np.float64(0.19623882551363891), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606818533494)}"
32,"[0.39543482527917084, 0.0, 601.9046216454993]",99747.61831041312,0.39543482527917084,0.0,601.9046216454993,"{'ISE': np.float64(526506.8960489281), 'IAE': np.float64(61195.0606382732), 'ITAE': np.float64(149666021.68501478), 'overshoot': np.float64(0.19623882550574479), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606818520062)}"
33,"[0.3954348252649848, 0.0, 601.9046216458313]",99747.61831041312,0.3954348252649848,0.0,601.9046216458313,"{'ISE': np.float64(526506.8935635015), 'IAE': np.float64(61195.06042284997), 'ITAE': np.float64(149666021.2014161), 'overshoot': np.float64(0.19623882552195937), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606816211308)}"
34,"[0.3954348252593104, 0.0, 601.9046216459641]",99747.61831041312,0.3954348252593104,0.0,601.9046216459641,"{'ISE': np.float64(526506.8934848787), 'IAE': np.float64(61195.06042555082), 'ITAE': np.float64(149666021.2180093), 'overshoot': np.float64(0.19623882552184568), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.560681626105)}"
35,"[0.39543482525704066, 0.0, 601.9046216460172]",99747.61831041312,0.39543482525704066,0.0,601.9046216460172,"{'ISE': np.float64(526506.8950039742), 'IAE': np.float64(61195.0605057732), 'ITAE': np.float64(149666021.33794636), 'overshoot': np.float64(0.19623882553530336), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606816928281)}"
36,"[0.39543482525613277, 0.0, 601.9046216460384]",99747.61831041312,0.39543482525613277,0.0,601.9046216460384,"{'ISE': np.float64(526506.8950070575), 'IAE': np.float64(61195.06050694761), 'ITAE': np.float64(149666021.35297665), 'overshoot': np.float64(0.1962388255045795), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606816949012)}"
37,"[0.3954348252557696, 0.0, 601.904621646047]",99747.61831041312,0.3954348252557696,0.0,601.904621646047,"{'ISE': np.float64(526506.893575151), 'IAE': np.float64(61195.06042279103), 'ITAE': np.float64(149666021.18769357), 'overshoot': np.float64(0.1962388255253984), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606816158345)}"
38,"[0.39543482525562434, 0.0, 601.9046216460504]",99747.61831041312,0.39543482525562434,0.0,601.9046216460504,"{'ISE': np.float64(526506.8931419483), 'IAE': np.float64(61195.060406250406), 'ITAE': np.float64(149666021.18851402), 'overshoot': np.float64(0.1962388255222436), 'settling_time': np.float64(6227.0), 'control_effort': np.float64(847.5606816080907)}"
